Coin,Open($),High($),Low($),Close($),Volum($),Market_cap($)
nexo,2.44,2.66,2.44,2.66,10955032,1489724547
decentraland,0.8247,0.9153,0.8247,0.8989,227140451,1418640983
thorchain,4.78,5.94,4.78,5.93,47457733,1413967836
ethereum-classic,11.14,11.77,11.11,11.77,756466306,1368895314
stacks,1.18,1.23,1.18,1.23,12687067,1332319723
uma,19.95,22.91,19.95,22.9,41846741,1324365456
icon,1.84,2.07,1.84,2.06,108363003,1224304472
waves,10.58,13.21,10.58,12.32,265305495,1289722799
bancor,6.79,7.3,6.79,7.3,70875839,1259501708
swissborg,1.15,1.25,1.15,1.25,5766837,1245182485
yearn-finance,31966.85,33377.81,31897.42,33244.09,181933233,1217895327
voyager-token,4.26,5.4,4.24,5.37,15419353,1194431861
celsius,4.84,4.99,4.8,4.88,6557313,1165131557
ontology,1.17,1.3,1.17,1.29,338762021,1040959345
0x,1.32,1.4,1.32,1.39,131183282,1060501709
revain,0.01236,0.0126,0.01231,0.01258,6525378,1070189698
siacoin,0.01911,0.022090000000000002,0.01899,0.0216,130610456,1022129154
reserve-rights,0.07402,0.08338,0.07393,0.0807,124450923,1062073557
ankr,0.1215,0.1555,0.1152,0.1359,1356579986,950908788
dent,0.009778,0.01138,0.009778,0.01057,196268013,984716629
digibyte,0.06091,0.0682,0.06085,0.06727000000000001,41060660,952609089
ren,0.8517,0.9694,0.8517,0.9553,99268062,951649376
fantom,0.3244,0.3775,0.3239,0.3675,77423925,935413624
flow,25.44,33.06,25.36,29.84,257565105,908098402
arweave,20.49,26.62,20.49,26.62,23034188,888984970
paxos-standard,1.0,1.01,0.9967,1.0,78028274,854797230
qtum,8.36,9.65,8.31,8.68,1507517066,852922569
iostoken,0.0447,0.05,0.0447,0.04985,258180045,816189714
omg,5.0,5.35,5.0,5.35,273613205,749658818
okb,12.13,12.8,12.1,12.79,140097268,767256753
helium,7.11,8.67,7.11,8.29,16291576,629037170
curve-dao-token,2.39,2.64,2.39,2.63,222687591,675102277
husd,1.0,1.0,0.9990000000000001,1.0,828695625,651071615
renbtc,51576.17,54851.5,51335.72,54838.55,11460933,680263242
